iter	Passed	Remaining
717	5730	2250
718	5738	2242
719	5746	2234
720	5754	2226
721	5762	2218
722	5770	2210
723	5777	2202
724	5785	2194
725	5794	2186
726	5802	2178
727	5810	2170
728	5818	2162
729	5826	2154
730	5834	2146
731	5842	2138
732	5850	2131
733	5858	2123
734	5866	2115
735	5874	2107
736	5882	2099
737	5890	2091
738	5898	2083
739	5906	2075
740	5914	2067
741	5922	2059
742	5929	2051
743	5937	2043
744	5944	2034
745	5952	2026
746	5960	2018
747	5968	2010
748	5976	2002
749	5984	1994
750	5992	1986
751	5999	1978
752	6007	1970
753	6015	1962
754	6023	1954
755	6031	1946
756	6039	1938
757	6047	1930
758	6055	1922
759	6063	1914
760	6071	1906
761	6079	1898
762	6087	1890
763	6095	1882
764	6103	1874
765	6110	1866
766	6119	1858
767	6127	1850
768	6134	1842
769	6142	1834
770	6151	1826
771	6158	1818
772	6167	1811
773	6175	1803
774	6183	1795
775	6191	1787
776	6200	1779
777	6208	1771
778	6216	1763
779	6224	1755
780	6233	1747
781	6241	1739
782	6249	1731
783	6257	1723
784	6265	1716
785	6273	1708
786	6281	1700
787	6289	1692
788	6298	1684
789	6306	1676
790	6314	1668
791	6322	1660
792	6330	1652
793	6338	1644
794	6346	1636
795	6354	1628
796	6362	1620
797	6370	1612
798	6379	1604
799	6386	1596
800	6394	1588
801	6402	1580
802	6411	1572
803	6419	1564
804	6426	1556
805	6434	1548
806	6443	1540
807	6451	1532
808	6459	1525
809	6467	1517
810	6477	1509
811	6486	1501
812	6493	1493
813	6501	1485
814	6509	1477
815	6517	1469
816	6525	1461
817	6532	1453
818	6540	1445
819	6548	1437
820	6555	1429
821	6563	1421
822	6572	1413
823	6580	1405
824	6588	1397
825	6596	1389
826	6604	1381
827	6612	1373
828	6620	1365
829	6629	1357
830	6637	1349
831	6645	1341
832	6654	1334
833	6662	1326
834	6670	1318
835	6677	1310
836	6685	1302
837	6693	1294
838	6701	1286
839	6710	1278
840	6718	1270
841	6725	1262
842	6733	1254
843	6741	1246
844	6749	1238
845	6757	1230
846	6766	1222
847	6774	1214
848	6781	1206
849	6789	1198
850	6798	1190
851	6806	1182
852	6813	1174
853	6821	1166
854	6829	1158
855	6836	1150
856	6845	1142
857	6853	1134
858	6861	1126
859	6868	1118
860	6877	1110
861	6885	1102
862	6893	1094
863	6901	1086
864	6909	1078
865	6916	1070
866	6925	1062
867	6933	1054
868	6941	1046
869	6949	1038
870	6957	1030
871	6965	1022
872	6973	1014
873	6981	1006
874	6989	998
875	6996	990
876	7004	982
877	7012	974
878	7020	966
879	7027	958
880	7035	950
881	7043	942
882	7051	934
883	7059	926
884	7067	918
885	7075	910
886	7083	902
887	7091	894
888	7099	886
889	7107	878
890	7116	870
891	7124	862
892	7132	854
893	7140	846
